track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
2,1,100,car,1023.711,986.152,6.673,4.079,0.549,4.33,1.72
2,2,200,car,1024.384,986.549,6.715,4.033,0.541,4.33,1.72
2,3,300,car,1025.063,986.94,6.762,3.982,0.532,4.33,1.72
2,4,400,car,1025.746,987.326,6.815,3.927,0.523,4.33,1.72
2,5,500,car,1026.435,987.705,6.87,3.866,0.513,4.33,1.72
2,6,600,car,1027.131,988.077,6.928,3.799,0.502,4.33,1.72
2,7,700,car,1027.832,988.442,6.988,3.726,0.49,4.33,1.72
2,8,800,car,1028.54,988.797,7.049,3.646,0.477,4.33,1.72
2,9,900,car,1029.255,989.144,7.112,3.56,0.464,4.33,1.72
2,10,1000,car,1029.976,989.481,7.177,3.466,0.45,4.33,1.72
2,11,1100,car,1030.703,989.807,7.243,3.365,0.435,4.33,1.72
2,12,1200,car,1031.438,990.122,7.31,3.257,0.419,4.33,1.72
2,13,1300,car,1032.179,990.424,7.379,3.141,0.402,4.33,1.72
2,14,1400,car,1032.927,990.714,7.449,3.019,0.385,4.33,1.72
2,15,1500,car,1033.682,990.99,7.521,2.89,0.367,4.33,1.72
2,16,1600,car,1034.445,991.251,7.594,2.755,0.348,4.33,1.72
2,17,1700,car,1035.214,991.499,7.67,2.613,0.328,4.33,1.72
2,18,1800,car,1035.99,991.731,7.748,2.467,0.308,4.33,1.72
2,19,1900,car,1036.774,991.947,7.828,2.315,0.288,4.33,1.72
2,20,2000,car,1037.566,992.148,7.911,2.159,0.266,4.33,1.72
2,21,2100,car,1038.365,992.332,7.996,2,0.245,4.33,1.72
2,22,2200,car,1039.172,992.5,8.083,1.837,0.224,4.33,1.72
2,23,2300,car,1039.987,992.651,8.172,1.673,0.202,4.33,1.72
2,24,2400,car,1040.81,992.786,8.263,1.507,0.18,4.33,1.72
2,25,2500,car,1041.642,992.905,8.355,1.342,0.159,4.33,1.72
2,26,2600,car,1042.482,993.008,8.449,1.177,0.138,4.33,1.72
2,27,2700,car,1043.33,993.094,8.542,1.014,0.118,4.33,1.72
2,28,2800,car,1044.188,993.166,8.635,0.854,0.099,4.33,1.72
2,29,2900,car,1045.053,993.223,8.726,0.699,0.08,4.33,1.72
